Recommendation #	Title
Time Machine
2.7.2	Ensure Time Machine Volumes Are Encrypted
	File System Permissions and Access Controls
5.1.3	Ensure Apple Mobile File Integrity Is Enabled
5.1.4	Ensure Library Validation Is Enabled
5.1.6	Ensure Appropriate Permissions Are Enabled for System Wide Applications
5.1.7	Ensure No World Writable Files Exist in the System Folder
	Password Management
5.12	Ensure a Custom Message for the Login Screen Is Enabled
5.14	Ensure Users' Accounts Do Not Have a Password Hint
	Accounts Preferences Action Items
6.1.5	Ensure the Guest Home Folder Does Not Exist
